Date,Description,Cheque No.,Debit,Credit,Balance,Value Date
03/04/18,IMPS/P2A/809120786134/XXXXXXXXXX1319/transf,,"2,500.00",-,"2,167.92",01/04/18
03/04/18,BY INST 938018 : MICR CLG (CTS),,-,"6,200.00","8,367.92",03/04/18
03/04/18,M/S JAY RAM DEV IMPEX,,-,"70,000.00","78,367.92",03/04/18
03/04/18,IMPS/P2A/809323800600/XXXXXXXXXX1319/-,,-,"29,000.00","1,07,367.92",03/04/18
04/04/18,TO TRANSFER-MULJAI,48,"53,416.00",-,"53,951.92",04/04/18
04/04/18,NEFT-N094180101248126-ADSAR HYDRO,,-,"120,000.00","1,73,951.92",04/04/18
04/04/18,eBanking :,,"118,532.00",-,"55,419.92",04/04/18
05/04/18,MSPINK,49,"51,770.00",-,"3,649.92",05/04/18
05/04/18,NEFT-AXMB180955684906-ROSAVA,,-,"100,000.00","1,03,649.92",05/04/18
05/04/18,IMPS/P2A/809517876465/XXXXXXXXXX1319/paym,,"40,000.00",-,"63,649.92",05/04/18
05/04/18,IMPS/P2A/809519317057/XXXXXXXXXX1319/kalu,,"11,000.00",-,"52,649.92",05/04/18
05/04/18,IMPS/P2A/809520489521/XXXXXXXXXX1319/axis,,"20,000.00",-,"32,649.92",05/04/18
09/04/18,IMPS/P2A/809911345909/XXXXXXXXXX1319/kalu,,"2,700.00",-,"29,949.92",09/04/18
09/04/18,TO TRANSFER-MULJAI,51,"16,891.00",-,"13,058.92",09/04/18
11/04/18,IMPS/P2A/810120317174/XXXXXXXXXX1319/axis,,"3,000.00",-,"10,058.92",11/04/18
16/04/18,BY INST 704806 : MICR CLG (CTS),,-,"35,400.00","45,458.92",16/04/18
17/04/18,LIC,21,"6,093.00",-,"39,365.92",17/04/18
17/04/18,IMPS/P2A/810721603602/XXXXXXXXXX1319/transf,,"17,703.00",-,"21,662.92",17/04/18
18/04/18,IMPS/P2A/810810487788/XXXXXXXXXX1319/-,,-,"10,000.00","31,662.92",18/04/18
18/04/18,eBanking :,,"24,148.00",-,"7,514.92",18/04/18
18/04/18,IMPS/P2A/810810581881/XXXXXXXXXX1319/GSTP,,-,"24,150.00","31,664.92",18/04/18
18/04/18,IMPS/P2A/810820572490/XXXXXXXXXX1319/axis,,"25,000.00",-,"6,664.92",18/04/18
19/04/18,NEFT-KKBK181096637216-SCION EXPORTS PVT,,-,"186,357.00","1,93,021.92",19/04/18
19/04/18,NEFT-AXMB181090261273-ROSAVA,,-,"100,000.00","2,93,021.92",19/04/18
19/04/18,eBanking : 86684716/NBBC6235075577/BILLDESK,,"75,000.00",-,"2,18,021.92",19/04/18
19/04/18,IMPS/P2A/810920453831/XXXXXXXXXX1319/axis,,"31,000.00",-,"1,87,021.92",19/04/18
19/04/18,eBanking : 86698466/NBBC6235804817/BILLDESK,,"30,000.00",-,"1,57,021.92",19/04/18
20/04/18,IMPS/P2A/811020595708/XXXXXXXXXX1319/Hema,,"8,000.00",-,"1,49,021.92",20/04/18
20/04/18,IMPS/P2A/811021039294/XXXXXXXXXX1319/axis,,"50,000.00",-,"99,021.92",20/04/18
21/04/18,IMPS/P2A/811112801759/XXXXXXXXXX1319/transf,,"18,685.00",-,"80,336.92",21/04/18
23/04/18,ATM/CASH/7395/XXXXXXXXXXXX1348,,"7,000.00",-,"73,336.92",23/04/18
25/04/18,IMPS/P2A/811519283979/XXXXXXXXXX1319/transf,,"16,700.00",-,"56,636.92",25/04/18
26/04/18,NEFT-ANDBN18220834579-MODERN MACHINE,,-,"20,000.00","76,636.92",26/04/18
26/04/18,IMPS/P2A/811613567222/XXXXXXXXXX1319/transf,,"20,000.00",-,"56,636.92",26/04/18
27/04/18,IMPS/P2A/811718859415/XXXXXXXXXX1319/transf,,"50,000.00",-,"6,636.92",27/04/18
30/04/18,ATM/CASH/8894/XXXXXXXXXXXX1348,,"4,000.00",-,"2,636.92",29/04/18
