Xns Date,Cheque No,Narration,Debits,Credits,Balance
01-Sep-2019,,TRTR/924400084043/01-09-2019 00:04:15/UPI,-1000.0,,3576.53
01-Sep-2019,,TRTR/924400057540/01-09-2019 00:20:22/MBS,,10000.0,13576.53
01-Sep-2019,,TRTR/924433054398/01-09-2019 09:40:43/UPI,-398.0,,13178.53
01-Sep-2019,,TRTR/924411645476/01-09-2019 11:19:29/UPI,,100.0,13278.53
01-Sep-2019,,TRTR/924444002705/01-09-2019 11:41:59/UPI,-1311.0,,11967.53
01-Sep-2019,,TRTR/924415459716/01-09-2019 15:14:04/UPI,,200.0,12167.53
01-Sep-2019,,TRTR/924419356448/01-09-2019 19:12:33/UPI,,90.0,12257.53
01-Sep-2019,,TRTR/924443153504/01-09-2019 19:33:39/UPI,-149.0,,12108.53
01-Sep-2019,,TRTR/924420351548/01-09-2019 20:46:43/UPI,-7000.0,,5108.53
01-Sep-2019,,TRTR/924421954659/01-09-2019 21:17:56/UPI,,200.0,5308.53
02-Sep-2019,,TRTR/924501455443/02-09-2019 01:36:23/UPI,,140.0,5448.53
02-Sep-2019,199311,MEHTA MARKETING MEGHA A C,-587.0,,4861.53
02-Sep-2019,,TRTR/924522193909/02-09-2019 22:02:46/UPI,,250.0,5111.53
02-Sep-2019,,TRTR/924522232809/02-09-2019 22:37:54/MBS,,5000.0,10111.53
03-Sep-2019,,TRTR/924610546842/03-09-2019 10:31:41/UPI,-777.0,,9334.53
03-Sep-2019,,TRTR/924610589942/03-09-2019 10:32:27/UPI,,7.0,9341.53
03-Sep-2019,,NACHMandate:2144061/030419 registration chrg/PFM,-100.0,,9241.53
03-Sep-2019,,Mandate:2144061/030419 registration chrg GST/PFM,-18.0,,9223.53
04-Sep-2019,,C  ASH,,6000.0,15223.53
04-Sep-2019,,TRTR/924764960103/04-09-2019 16:54:16/UPI,-2000.0,,13223.53
04-Sep-2019,199304,SONAL TRADING CO,-1787.0,,11436.53
04-Sep-2019,199309,JAYLAXMISALES,-3378.0,,8058.53
04-Sep-2019,199305,OM SHANTI TRADERS,-1906.0,,6152.53
04-Sep-2019,199301,MKTRADERS,-1782.0,,4370.53
04-Sep-2019,199307,MANGALAM ENTERPRISES,-1815.0,,2555.53
04-Sep-2019,,TRTR/924744216684/04-09-2019 20:54:55/UPI,-149.0,,2406.53
05-Sep-2019,,TRTR/924800334725/05-09-2019 00:29:25/MBS,,138.0,2544.53
05-Sep-2019,,TRTR/924809282129/05-09-2019 09:54:09/UPI,,500.0,3044.53
05-Sep-2019,,TRTR/924814998664/05-09-2019 14:37:49/UPI,,2000.0,5044.53
05-Sep-2019,,TRTR/924841457534/05-09-2019 16:59:50/UPI,-4280.0,,764.53
05-Sep-2019,,TRTR/924845113386/05-09-2019 21:27:36/UPI,,7000.0,7764.53
05-Sep-2019,,TRTR/924845184912/05-09-2019 21:34:16/UPI,-7000.0,,764.53
05-Sep-2019,,TRTR/924821837034/05-09-2019 21:35:51/UPI,,700.0,1464.53
05-Sep-2019,,TRTR/924845205813/05-09-2019 21:36:37/UPI,-1000.0,,464.53
06-Sep-2019,,TRTR/924910562904/06-09-2019 10:41:01/UPI,,100.0,564.53
06-Sep-2019,,TRTR/924956974794/06-09-2019 14:10:43/UPI,,2.0,566.53
06-Sep-2019,,TRTR/924918061600/06-09-2019 18:13:28/UPI,,50.0,616.53
07-Sep-2019,,TRTR/925000538481/07-09-2019 00:10:30/MBS,,100.0,716.53
07-Sep-2019,,TRTR/925036560860/07-09-2019 09:16:45/UPI,,1000.0,1716.53
07-Sep-2019,,TRTR/925010012136/07-09-2019 10:33:20/UPI,,500.0,2216.53
07-Sep-2019,,TRTR/925011559773/07-09-2019 11:36:47/UPI,,3000.0,5216.53
07-Sep-2019,,C  ASH,,2000.0,7216.53
07-Sep-2019,,TRTR/925036616639/07-09-2019 12:04:23/UPI,-3000.0,,4216.53
07-Sep-2019,,TRTR/925013986151/07-09-2019 13:08:09/UPI,,2000.0,6216.53
07-Sep-2019,,TRTR/925037214824/07-09-2019 13:09:10/UPI,-2000.0,,4216.53
07-Sep-2019,,TRTR/925013641729/07-09-2019 13:28:59/UPI,,45.0,4261.53
07-Sep-2019,,TRTR/925015450315/07-09-2019 15:28:17/UPI,,5000.0,9261.53
07-Sep-2019,,TRTR/925015104587/07-09-2019 15:26:40/UPI,,2000.0,11261.53
07-Sep-2019,199312,VISHAL ENTERPRISES,-2022.0,,9239.53
07-Sep-2019,,TRTR/925060981034/07-09-2019 15:32:10/UPI,,2000.0,11239.53
